id_obat;nama_obat;kategori_penyakit;indikasi;satuan_tersedia;harga_mulai;harga_detail;aturan_pemakaian;dosis;efek_samping;interaksi_obat;jangka_waktu_penggunaan;komposisi;kontra_indikasi;stok;image
23;Laserin;Batuk;Membantu meredakan batuk, masuk angin, muntah, sakit perut, dan melegakan tenggorokan;Cair 110 Ml, Cair 60 Ml;14500;"Cair 60 Ml: Rp14.500; Cair 110 Ml: Rp26.000";Berikan sesudah makan;"Dewasa: 3 x sehari 1-2 sendok makan; Anak: 3 x sehari 1-2 sendok teh; Bayi: 2 x sehari 12 sendok teh. Atau menurut petunjuk dokter";Belum terdapat data keamanan untuk obat ini;Tidak ada informasi adanya interaksi_obat saat Laserin digunakan bersama zat aktif lainnya;Tidak boleh digunakan lebih dari 6 minggu tanpa anjuran dokter;"Euphorbiae hirta Herba 0.01 g; Zingiberis officinale Rhizoma 1.84 g; Cinnamomum burmanii Cortex 0.26 g; Amomi compacti Fructus 0.02 g; Syzygium aromaticum Flos 0.03 g; Piper betle Folium 0.45 g; Abri precatorius Folium 0.05 g; Mentha arvensis Folium 0.002 g; Hibiscus tileacius Folium 0.005 g; Oleum mentha piperitae 0.02 ml; Succus liquiritae 0.02 g";"Hipersensitif; Penderita obstruksi usus; Penderita yang harus menghindari konstipasi";;https://tse.mm.bing.net/th?q=Laserin%20obat%20kemasan
24;OB Herbal;Batuk;Membantu meredakan batuk dan membantu melegakan tenggorokan;Cair 100 Ml, Cair 60 Ml;16500;"Cair 60 Ml: Rp16.500; Cair 100 Ml: Rp24.000";Sesudah makan;"Dewasa: 3 x 1 Sendok Makan 15 ml; Anak-anak 2 Tahun: 3 x 12 Sendok Makan 7.5 ml";Pada umumnya, jarang ditemukan efek_samping pada penggunaan obat herbal;Belum ada informasi terkait interaksi_obat OB Herbal dengan zat aktif lain;Jangan memberikan OB Herbal Junior Sirup ke anak dalam jangka panjang, selama 6 minggu;"Zingiber officinale Rhizoma 4.5 g; Citrus aurantifolia Fructus 1.5 g; Kaempferia galanga Rhizoma 1.5 g; Thymus vulgaris Herba 1.5 g; Mentha arvensis Folium 0.75 g; Myristica fragrans Semen 0.75 g; Mel depuratum 0.6 g; Glycyrrhiza glabra Radix (Licorice) 0.25 g; Oleum Menthae Piperitae; Potasium sorbat";Hindari penggunaan OB Herbal apabila kamu punya riwayat alergi pada salah satu kandungan di dalam obat;;https://tse.mm.bing.net/th?q=OB%20Herbal%20obat%20kemasan
25;Obat Batuk Cap Ibu dan Anak;Batuk;Membantu meredakan batuk berdahak dan membantu melegakan tenggorokan. Membantu memelihara kesehatan paru-paru;Cair 150 Ml, Cair 300 Ml, Cair 75 Ml;27000;"Cair 75 Ml: Rp27.000; Cair 150 Ml: Rp54.000; Cair 300 Ml: Rp74.000";Sesudah makan. Diminum secara perlahan-lahan atau dicampur dengan air hangat;"Dewasa dan anak 12 tahun: 3 kali per hari 1 sendok takar 15ml; Anak 7-12 tahun: 3 Kali sehari 23 sendok takar 10ml; Anak 3-6 tahun: 3 Kali sehari 13 sendok takar 5ml";"Mual; Diare; Sakit perut; Gatal-gatal; Ruam; Bengkak pada kulit; Sakit kepala; Pusing; Sulit tidur atau insomnia";Belum didapatkan informasi terkait interaksi_obat batuk ibu dan anak dengan obat lainnya;;"Fritillaria cirrhosa Bulbus 852 mg; Eriobotrya japonica Folium 195 mg; Adenophora tetraphylla Radix 27 mg; Poria cocos 27 mg; Citrus grandis Exocarpium 120 mg; Platycodon grandiflorium Radix 72 mg; Pinellia ternata rhizoma Preparatum 27 mg; Schisandra chinensis Fructus 5 mg; Trichosanthes kirilowii Semen 27 mg; Polygala tenuifolia Radix 120 mg; Tussilago farfara Flos 120 mg; Armeniacae amarum Semen 21 mg; Zingiber officinale Rhizoma 27 mg; Mentholum 35 mg; Glycyrrhiza glabes Radix 780 mg; Aqua armeniacae 213 mg; Mel depuratum 3870 mg; Syrup Q.S. to 100 g";"Pasien yang mengalami reaksi hipersensitivitas terhadap salah satu kandungan obat. Beberapa gejala yang akan dialami, seperti munculnya ruam, gatal, hingga bengkak; Insomnia berat";;https://tse.mm.bing.net/th?q=Obat%20Batuk%20Cap%20Ibu%20dan%20Anak%20obat%20kemasan
26;OBH Berlico Jerus Nipis;Batuk;Untuk batuk berdahak;All;10000;All: Rp10.000;Sebelum atau sesudah makan;"Dewasa: 3 x sehari 3 sendok takar (15 ml); Anak-anak: 3 x sehari 1 sendok takar (5 ml)";"efek_samping yang terjadi pada dosis besar adalah asidosis metabolik; rasa kantuk; mual dan muntah";;Bukan Untuk Jangka Panjang;;Penderita yang hipersensitif terhadap komponen obat ini;;https://tse.mm.bing.net/th?q=OBH%20Berlico%20Jerus%20Nipis%20obat%20kemasan
27;OBH Combi Batuk Berdahak;Batuk;Untuk meredakan batuk berdahak;All;16500;All: Rp16.500;Diberikan sesudah makan;Dewasa: 1-4 kali sehari, 2 sachet 15 ml;"Mual; muntah; perasaan tidak nyaman di perut. Pada dosis besar dapat menyebabkan gangguan elektrolit tubuh";"Amonium klorida dapat menurunkan kadar obat methyl?enedioxy?methamphetamine, lisdexamfetamine, pseudoephedrine, dan dextroamphetamine; Ammonium chloride dan diclofenamide dapat menurunkan kadar kalium; Beri tahu dokter atau apoteker jika kamu sedang mengonsumsi suplemen, produk herbal, atau obat lain";Bukan Untuk Jangka Panjang;"Succus Liquiritiae 167 mg; Ammonium Chloride 50 mg; Ethanol 2 %";Penderita yang hipersensitif terhadap salah satu komponen obat;;https://tse.mm.bing.net/th?q=OBH%20Combi%20Batuk%20Berdahak%20obat%20kemasan
28;OBH IKA Obat Batuk Hitam;Batuk;Untuk batuk berdahak;Cair 100 Ml, Cair 200 Ml;15000;"Cair 100 Ml: Rp15.000; Cair 200 Ml: Rp23.500";Sesudah makan;"Dewasa: 3-4 x sehari 1 sendok makan 15 ml; Anak: 3-4 x sehari 1 sendok teh 5 ml";Mengantuk;;Bukan Untuk Jangka Panjang;"Succus liquiritiae 500 mg; Ammonium Chloride 300 mg; SASA 300 mg";Penderita yang hipersensitif terhadap salah satu komponen obat;;https://tse.mm.bing.net/th?q=OBH%20IKA%20Obat%20Batuk%20Hitam%20obat%20kemasan
29;OBH Itrasal;Batuk;Sebagai expectoran batuk berdahak;All;6500;All: Rp6.500;Dikonsumsi setelah makan;"Dewasa dan anak 12 tahun: sehari 3-4 kali 3 sendok teh 15 ml; Anak-anak umur 6 - 12 tahun: sehari 3-4 kali 1 sendok teh 5 ml; Anak-anak 6 tahun: Sesuai petunjuk dokter";dosis yang berlebihan kemungkinan menimbulkan asidosis;;Bukan Untuk Jangka Panjang;"Succus Liquiritiae 160 mg; Ammonium Chloride 100 mg";Penderita hipersensitif terhadap obat;;https://tse.mm.bing.net/th?q=OBH%20Itrasal%20obat%20kemasan
30;OBH Nellco;Batuk;Ekspektoran pada gangguan batuk berdahak;;0;;Dikonsumsi sesudah makan. Kocok dahulu sebelum dipakai;"Dewasa dan anak-anak usia diatas 12 tahun: 3 kali sehari 3 sendok takar; Anak-anak usia 6 - 12 tahun: 3 kali sehari 1.5 sendok takar";"Mual; muntah; perasaan tidak nyaman di perut; Pada dosis besar dapat menyebabkan gangguan elektrolit tubuh";;Bukan Untuk Jangka Panjang;"Succus Liquiritiae 167 mg; Ammonium Chloride 100 mg";Penderita yang hipersensitif terhadap salah satu komponen obat ini;;https://tse.mm.bing.net/th?q=OBH%20Nellco%20obat%20kemasan
31;Phenacold Expectorant;Batuk;Untuk meringankan batuk berdahak yang disebabkan alergi;All;13000;All: Rp13.000;Bersama atau tanpa makanan;"Dewasa: 10 mL 3-4 x sehari; Anak 6-12 thn: 5 mL 3-4 x sehari";"efek_samping yang mungkin timbul yaitu mengantuk; pusing; gangguan saluran pencernaan";"Bila digunakan bersama obat golongan antidepresan golongan monoamine oxidase inhibitors MAOIs, seperti isocarboxazid; obat ini bisa meningkatkan efek kantuk dan efek_samping yang bisa berakibat fatal";mengonsumsi Phenacold dalam dosis besar dan jangka panjang bisa menyebabkan gangguan hati;"Diphenhydramine Hydrochloride 12.5 mg; Ammonium Chloride 100 mg; Potassium Guaiacolsulfonate 30 mg; Sodium Citrate 50 mg";Jangan diberikan pada pasien yang hipersesnitif terhadap komponen obat;;https://tse.mm.bing.net/th?q=Phenacold%20Expectorant%20obat%20kemasan
32;Sanadryl DMP;Batuk;Untuk meringankan gejala batuk tidak berdahak yang menimbulkan rasa sakit atau batuk karena alergi;Cair 120 Ml, Cair 60 Ml;19000;"Cair 60 Ml: Rp19.000; Cair 120 Ml: Rp30.500";Dikonsumsi bersama atau setelah makanan.;"Dewasa: 3-4 kali sehari 2 sendok takar 10 ml; Anak 6-12 tahun: 3-4 kali sehari 1 sendok takar 5 ml";"Mengantuk; sedasi; pusing; gangguan koordinasi; rasa tidak enak di ulu hati; sekresi saluran napas mengental; konstipasi; dosis sangat besar dapat menyebabkan depresi per- napasan dan susunan saraf pusat";"Dapat mempotensiasi depresan sistem saraf pusat lainnya; Tindakan yang diperpanjang oleh monoamine oxidase inhibitors MAOI";Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER;"Dextromethorphan Hydrobromide 10 mg; Diphenhydramine Hydrochloride 12.5 mg; Ammonium Chloride 100 mg; Sodium Citrate 50 mg";"Penderita yang hipersensitif terhadap komponen obat ini; Wanita hamil dan menyusui";;https://tse.mm.bing.net/th?q=Sanadryl%20DMP%20obat%20kemasan
33;Sanadryl Ekspektoran;Batuk;Untuk meringankan batuk berdahak yang disebabkan alergi;Cair 120 Ml, Cair 60 Ml;16000;"Cair 60 Ml: Rp16.000; Cair 120 Ml: Rp22.500";Diberikan bersama dengan atau tanpa makanan;"Anak-anak 6-12 tahun: 5 ml, 3-4 kali sehari; Dewasa: 10 ml, 3-4 kali sehari";"efek_samping yang sering terjadi mengantuk; sedasi; pusing; gangguan koordinasi; rasa tidak enak di ulu hati. sekresi saluran napas mengental";Berikut adalah beberapa obat yang dapat berinteraksi dengan Sanadryl Expectorant: Golongan depresan sistem saraf pusat lainnya, Golongan obat MAOI;Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER;"Diphenhydramine Hydrochloride 12.5 mg; Ammonium Chloride 100 mg; Sulfogaiacol Potassium 30 mg; Sodium Citrate Dihydrate 50 mg";SANADRYL Ekspektoran tidak boleh digunakan pada bayi, ibu menyusui, terapi antibiotika yang bersifat oto- toksik karena dapat menimbulkan reaksi ototoksik. Penderita yang hipersensitif terhadap salah satu kom- ponen dari SANADRYL Ekspektoran;;https://tse.mm.bing.net/th?q=Sanadryl%20Ekspektoran%20obat%20kemasan
34;Siladex Antitussive;Batuk;Untuk meringankan batuk yang tidak berdahak yang disertai alergi;Cair 100 Ml, Cair 30 Ml, Cair 60 Ml;9500;"Cair 30 Ml: Rp9.500; Cair 60 Ml: Rp17.000; Cair 100 Ml: Rp21.000";Sebelum atau sesudah makan;"Dewasa dan anak-anak diatas 12 tahun: 3 kali sehari, 1 sendok takar 5 ml; Anak-anak 6 - 12 tahun: 3 kali sehari, 0.5 sendok takar 2.5 ml";"Mual; pusing; mengantuk; konstipasi; mulut kering dan pandangan kabur; Gangguan pencernaan; gangguan psikomotor; takikardi; aritmia ventrikel; palpitasi; retensi urin";Dapat terjadi rangsangan SSP dan depresi pernapasan yang berat pada pemberian bersamaan dengan penghambat MAO;Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;;"Penderita hipersensitif terhadap salah satu bahan yang terkandung dalam sediaan ini; Penderita dengan gangguan jantung dan diabetes mellitus; Penderita dengan gangguan fungsi hati yang berat";;https://tse.mm.bing.net/th?q=Siladex%20Antitussive%20obat%20kemasan
35;Siladex Mucolytic Expctorant;Batuk;Sebagai mukolitik dan ekspektoran untuk meredakan batuk berdahak dan mempermudah pengeluaran dahak;Cair 30 Ml, Cair 60 Ml;9000;"Cair 30 Ml: Rp9.000; Cair 60 Ml: Rp15.500";Dikonsumsi sesudah makan;"Dewasa dan anak-anak lebih dari 10 tahun: 3 kali sehari 1 sendok takar 5 ml; Anak-anak 5-10 tahun: 3 kali sehari 12 sendok takar 2.5 ml";"Mual; diare; rasa penuh diperut; vertigo; berkeringat lebih banyak; ruam kulit";Pemberian bersamaan dengan antibiotika amoksisilin, sefuroksim, doksisiklin akan meningkatkan konsentrasi antibiotik;Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"Bromhexine HCI 4 mg; Gualfenesin 50 mg";"Hipersensitif terhadap Bromhexine HCI; Guaifenesin atau komponen lain dalam obat ini";;https://tse.mm.bing.net/th?q=Siladex%20Mucolytic%20Expctorant%20obat%20kemasan
36;Vicks Formula 44;Batuk;Untuk meringankan batuk yang tidak berdahak yang disertai bersin-bersin alergi;Cair 100 Ml, Cair 27 Ml, Cair 54 Ml;11000;"Cair 27 Ml: Rp11.000; Cair 54 Ml: Rp23.000; Cair 100 Ml: Rp32.500";Sesudah makan;"Dewasa: 12 tahun ke atas 2 sendok takar 10 ml; Anak-anak: 6-12 tahun 1 sendok takar 5 ml";"Dapat menimbulkan rasa mual; pusing; mengantuk; konstipasi; sedasi; sekresi saluran napas mengental; dan gelisah; Dapat menyebabkan kantuk";Dapat terjadi rangsangan susunan saraf pusat dan depresi pernapasan yang berat pada pemberian bersamaan dengan penghambat MAO;ketika penggunaan Vicks VapoRub dalam jangka panjang atau berlebihan menyebabkan bentuk pneumonia yang langka;"Dextromethorphan Hydrobromide 5 mg; Doxylamine Succinate 2 mg; Alcohol 10 %";"Penderita hipersensitif; penderita glaukoma; asma bronkhial; kegagalan pernapasan dan wanita hamil atau menyusui";;https://tse.mm.bing.net/th?q=Vicks%20Formula%2044%20obat%20kemasan
37;Woods Peppermint Antitussive;Batuk;Batuk tidak berdahak yang disertai alergi;Cair 100 Ml, Cair 60 Ml;22500;"Cair 60 Ml: Rp22.500; Cair 100 Ml: Rp36.000";Sesudah makan;"Dewasa dan anak 12 tahun: 3 x sehari, 10 ml; Anak-anak 6-12 tahun: 3 x sehari, 5 ml";"efek_samping yang timbul seperti rasa mual; pusing; mengantuk dan konstipasi";Penggunaan secara bersamaan dengan inhibitor MAO dapat menyebabkan stimulasi CNS dan depresi pernapasan berat;Wood Pepermint bukan untuk dikonsumsi secara berulang-ulang atau dalam jangka panjang;"Dextromethorphan HBr 7.5 mg; Diphenhydramine HCL 12.5 mg";"Pada wanita hamil dan menyusui; penderita hipersensitif terhadap salah satu bahan aktif; penderita glaucoma; asma bronkhial; kegagalan pernapasan sebaiknya tidak menggunakan obat ini";;https://tse.mm.bing.net/th?q=Woods%20Peppermint%20Antitussive%20obat%20kemasan
38;Zenirex;Batuk;Untuk meredakan batuk berdahak atau batuk yang disebabkan oleh alergi;All;8000;All: Rp8.000;Kocok terlebih dahulu;Dewasa: sehari 2 - 4 sendok teh tiap 4 jam;"Menimbulkan rasa mengantuk. Kadang-kadang penglihatan kabur; mulut kering; meningkatnya tekanan darah; mual muntah; diare; iritasi saluran cerna";;Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"Promethazine HCL 5 mg; Ipecacuanhae Extractum 4 mg; Guaifenesin 50 mg";"Hipersensitif; anak-anak < 2 tahun; menggunakan lebih dari satu obat batuk dan flu; penyakit ginjal; penyakit hati; anak-anak dengan disentri parah";;https://tse.mm.bing.net/th?q=Zenirex%20obat%20kemasan
39;Decolsin Cair;Batuk Dan Flu;Untuk meredakan batuk yang menyertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin;All;19500;All: Rp19.500;Sebelum atau sesudah makan;"Anak 6-12 tahun: 5 mL 1 sendok takar; Dewasa dan anak 12 tahun: 10 mL 2 sendok takar Anak 2-6 tahun Atas petunjuk Dokter";"Mengantuk; gangguan pencernaan; gangguan psikomotor; takikardia; aritmia; mulut kering; palpitasi; retensi urin; Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati";Penggunaan bersamaan antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi;Produk ini biasanya tidak boleh digunakan untuk batuk berkelanjutan akibat merokok atau masalah pernapasan jangka panjang seperti bronkitis;"Paracetamol 250 mg; Pseudoephedrine HCI 15 mg; Chlorphenamine Maleate 1 mg; Dextromethorphan HBr 5 mg; Guaifenesin 50 mg";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita yang hipersensitif terhadap komponen obat ini; Penderita dengan gangguan fungsi hati yang berat; Penderita dengan gangguan jantung dan diabetes melitus";;https://tse.mm.bing.net/th?q=Decolsin%20Cair%20obat%20kemasan
40;Intunal Cair;Batuk Dan Flu;Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk;All;27000;All: Rp27.000;Sesudah makan;"Dewasa: 3 x sehari 4 sendok takar 20 ml; Anak-anak 6-12 tahun: 3 x sehari 2 sendok takar 10 ml atau menurut petunjuk dokter";"Mengantuk; gangguan pencernaan; gangguan psikomotor; takikardia; aritmia; mulut kering; palpitasi; retensi urin; Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati";Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi;Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"Paracetamol 125 mg; Phenylpropanolamine HCL 3.5 mg; Dexchlorpheniramine maleate 0.5 mg; Dextromethorphan HBr 3.5 mg; Guaifenesin 50 mg";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita yang hipersensitif terhadap komponen obat ini; Penderita dengan gangguan fungsi hati yang berat; Penderita dengan gangguan jantung dan diabetes melitus";;https://tse.mm.bing.net/th?q=Intunal%20Cair%20obat%20kemasan
41;Nellco Special;Batuk Dan Flu;Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk;Cair 100 Ml, Cair 55 Ml;21500;"Cair 55 Ml: Rp21.500; Cair 100 Ml: Rp34.000";Dikonsumsi sesudah makan. Kocok dahulu sebelum dipakai;"Dewasa dan anak-anak usia diatas 12 tahun: 3 kali sehari 3 sendok takar; Anak-anak usia 6 - 12 tahun: 3 kali sehari 1.5 sendok takar";"kantuk; mual; muntah; sakit kepala; hipertensi";"Kombinasi dengan MAO inhibitor dan menyebabkan peningkatan tekanan darah drastis, memperpanjang masa kerja, dan meningkatkan efek antihistamin; Kolestiramin dapat menurunkan penyerapan paracetamol; Kombinasi metoclopramide dan domperidone dapat meningkatkan toksisitas dari paracetamol; Penggunaan bersama warfarin dapat meningkatkan kadar warfarin; Penggunaan bersama dengan alkohol, antidepresan, dan barbiturate akan memperkuat efek sedatif menimbulkan efek kantuk yang kuat; Glycyrrhizae yang dikombinasikan dengan digoksin dapat meningkatkan toksisitas dari digoksin; Kombinasi dengan furosemide dapat menurunkan kadar kalium";Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"Succus Liquiritiae 100 mg; Phenylephrine HCI 5 mg; Paracetamol 135 mg; Ammonium Chloride 40 mg; Chlorphenamine Maleate 1.3 mg";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita yang hipersensitif terhadap komponen obat ini; Penderita dengan gangguan fungsi hati yang berat; Penderita dengan gangguan jantung dan diabetes melitus";;https://tse.mm.bing.net/th?q=Nellco%20Special%20obat%20kemasan
42;OBH Combi Batuk Flu Menthol;Batuk Dan Flu;Untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin;Cair 100 Ml, Cair 60 Ml;16000;"Cair 60 Ml: Rp16.000; Cair 100 Ml: Rp21.500";Berikan sesudah makan;"Anak usia 6 - 12 tahun: 3 kali sehari 1 sendok takar 5 ml; Dewasa: 3 kali sehari 3 sendok takar 15 ml";"Mengarituk; gangguan pencernaan; insomnia; gelisah; eksitasi; tremor; takikardia; aritmia; mulut kering; palpitasi; netensi urine; Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati";Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi;Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"Succus Liquiritiae 167 mg; Paracetamol 150 mg; Ammonium Chloride 50 mg; Pseudoephedrine HCI 10 mg; Chlorphenamine Maleate 1.33 mg";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita yang hipersensitif terhadap komponen obat ini; Penderita dengan gangguan fungsi hati yang berat; Penderita dengan gangguan jantung dan diabetes melitus";;https://tse.mm.bing.net/th?q=OBH%20Combi%20Batuk%20Flu%20Menthol%20obat%20kemasan
43;Paratusin PE;Batuk Dan Flu;Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk;All;42000;All: Rp42.000;Obat diminum sesudah makan;"Anak-anak 2-5 th: 1 sendok teh (5 ml), 3 kali sehari; Anak-anak 6-12 th: 2 sendok teh (10 ml), 3 kali sehari; Dewasa: 4 sendok teh (20 ml), 3 kali sehari";"Mengantuk; gangguan pencernaan; insomnia; gelisah; eksitasi; tremor; takikardi; aritmia ventrikuler; mulut kering; palpitasi; sulit berkemih; Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati";Penggunaan bersama anti depresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi;Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"Paracetamol 125 mg; Pseudoephedrine HCI 7.5 mg; Noscapine 10 mg; Chlorphenamine Maleate 0.5 mg; Guaifenesin 25 mg; Succus Liquiritae 125 mg; Ethanol 10 %";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita yang hipersensitif terhadap komponen obat ini; Penderita dengan gangguan fungsi hati yang berat; Penderita dengan gangguan jantung dan diabetes melitus";;https://tse.mm.bing.net/th?q=Paratusin%20PE%20obat%20kemasan
44;Sanaflu + Batuk;Batuk Dan Flu;Meredakan gejala-gejala flu, demam, sakit kepala, hidung tersumbat;All;14500;All: Rp14.500;Berikan bersama makanan;"Dewasa: 3 kali sehari 1 kaplet; Anak 6-12 tahun: 3 kali sehari 12 kaplet";"Gangguan GI; gangguan psikomotor; takikardi; aritmia; palpitasi; retensi urin; mengantuk; Kerusakan hati dosis besar terapi jangka lama";Obat antidepresan golongan MAOI akan menyebabkan krisis hipertensi bila diberikan secara bersamaan dengan Sanaflu;Dalam jangka panjang penggunaan paracetamol dapat merusak organ hati dan meningkatkan tekanan darah;"Paracetamol 120 mg; Dextromethorphan Hydrobromide 7.5 mg; Phenylpropanolamine Hydrochloride 3.5 mg";"Pasien yang memiliki riwayat hipersensitif terhadap salah satu komponen obat ini; Pasien yang memiliki kepekaan terhadap obat simpatomimetik lain seperti efedrin, pseudoefedrin, fenilefrin juga dikontraindikasikan menggunakan obat ini; Pasien penderita hipertensi parah, penyakit jantung, diabetes mellitus, dan gangguan fungsi hati yang parah tidak boleh menggunakan obat ini; Kontraindikasi juga bagi pasien yang sedang menggunakan obat-obat golongan monoamine oksidase MAO inhibitors, karena bisa meningkatkan tekanan darah";;https://tse.mm.bing.net/th?q=Sanaflu%20%2B%20Batuk%20obat%20kemasan
45;Decolsin Cair;Batuk Dan Flu;Untuk meredakan batuk yang menyertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin;All;19500;All: Rp19.500;Sebelum atau sesudah makan;"Anak 6-12 tahun: 5 mL 1 sendok takar; Dewasa dan anak 12 tahun: 10 mL 2 sendok takar Anak 2-6 tahun Atas petunjuk Dokter";"Mengantuk; gangguan pencernaan; gangguan psikomotor; takikardia; aritmia; mulut kering; palpitasi; retensi urin; Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati";Penggunaan bersamaan antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi;Produk ini biasanya tidak boleh digunakan untuk batuk berkelanjutan akibat merokok atau masalah pernapasan jangka panjang seperti bronkitis;"Paracetamol 250 mg; Pseudoephedrine HCI 15 mg; Chlorphenamine Maleate 1 mg; Dextromethorphan HBr 5 mg; Guaifenesin 50 mg";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita yang hipersensitif terhadap komponen obat ini; Penderita dengan gangguan fungsi hati yang berat; Penderita dengan gangguan jantung dan diabetes melitus";;https://tse.mm.bing.net/th?q=Decolsin%20Cair%20obat%20kemasan
